127.0.0.1 - - [11/Nov/2017:20:31:27 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:31:28 +0530] "GET /BuildUp/ HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:31:28 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:32 +0530] "GET /BuildUp/usersignup HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:37 +0530] "GET /BuildUp/orgsignup HTTP/1.1" 200 3075
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:49 +0530] "GET /BuildUp/fieldAdd HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:49 +0530] "GET /BuildUp/resources/My_Design/Fimages/%7B%7Bfield.fid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:49 +0530] "GET /BuildUp/resources/My_Design/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:50 +0530] "GET /BuildUp/resources/My_Design/Fimages/10.jpg HTTP/1.1" 200 25783
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:50 +0530] "GET /BuildUp/resources/My_Design/Fimages/12.jpg HTTP/1.1" 200 22161
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:50 +0530] "GET /BuildUp/resources/My_Design/Fimages/11.jpg HTTP/1.1" 200 780805
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:55 +0530] "GET /BuildUp/branchAdd HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:55 +0530] "GET /BuildUp/resources/My_Design/Bimages/%7B%7Bfield.bid%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:55 +0530] "GET /BuildUp/resources/My_Design/Bimages/7.jpg HTTP/1.1" 200 22161
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:55 +0530] "GET /BuildUp/resources/My_Design/Bimages/6.jpg HTTP/1.1" 200 4795
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:55 +0530] "GET /BuildUp/resources/My_Design/Bimages/11.jpg HTTP/1.1" 200 48463
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:55 +0530] "GET /BuildUp/resources/My_Design/Bimages/9.jpg HTTP/1.1" 200 335163
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:55 +0530] "GET /BuildUp/resources/My_Design/Bimages/8.jpg HTTP/1.1" 200 335163
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:55 +0530] "GET /BuildUp/resources/My_Design/Bimages/5.jpg HTTP/1.1" 200 335163
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:55 +0530] "GET /BuildUp/resources/My_Design/Bimages/12.jpg HTTP/1.1" 200 48463
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:55 +0530] "GET /BuildUp/resources/My_Design/Bimages/13.jpg HTTP/1.1" 200 48463
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:32:55 +0530] "GET /BuildUp/resources/My_Design/Bimages/10.jpg HTTP/1.1" 200 335163
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:33:00 +0530] "GET /BuildUp/domainAdd HTTP/1.1" 200 5278
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:33:00 +0530] "GET /BuildUp/resources/My_Design/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:33:00 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:33:00 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:33:00 +0530] "GET /BuildUp/resources/My_Design/Dimages/%7B%7Bfield.did%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:33:00 +0530] "GET /BuildUp/resources/My_Design/Dimages/37.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:33:00 +0530] "GET /BuildUp/resources/My_Design/Dimages/36.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:33:00 +0530] "GET /BuildUp/resources/My_Design/Dimages/38.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:33:00 +0530] "GET /BuildUp/resources/My_Design/Dimages/40.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:33:00 +0530] "GET /BuildUp/resources/My_Design/Dimages/41.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2017:20:33:11 +0530] "GET /BuildUp/postup HTTP/1.1" 500 12589
