127.0.0.1 - - [16/Mar/2018:14:51:03 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:08 +0530] "GET /BuildUp/ HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:12 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:12 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:12 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:12 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:12 +0530] "GET /BuildUp/resources/My_Design/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:12 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:13 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:13 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:13 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:13 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:13 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:13 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:13 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:16 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:16 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:25 +0530] "GET /BuildUp/postup HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:25 +0530] "GET /BuildUp/resources/My_Design/Pimages/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:25 +0530] "GET /BuildUp/resources/My_Design/angular.min.js HTTP/1.1" 200 167130
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:26 +0530] "GET /BuildUp/resources/My_Design/Pimages/4.jpg HTTP/1.1" 200 29434
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:26 +0530] "GET /BuildUp/resources/My_Design/Pimages/33.jpg HTTP/1.1" 200 9601
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:26 +0530] "GET /BuildUp/resources/My_Design/Pimages/35.jpg HTTP/1.1" 200 295848
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:26 +0530] "GET /BuildUp/resources/My_Design/Pimages/2.jpg HTTP/1.1" 200 780805
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:26 +0530] "GET /BuildUp/resources/My_Design/Pimages/34.jpg HTTP/1.1" 200 599830
0:0:0:0:0:0:0:1 - - [16/Mar/2018:14:51:32 +0530] "GET /BuildUp/likepost?pid=34 HTTP/1.1" 200 2706
