127.0.0.1 - - [27/Nov/2017:14:56:54 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:56 +0530] "GET /BuildUp/ HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:57 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:57 +0530] "GET /BuildUp/resources/My_Design/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:57 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:57 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:57 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:57 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:57 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:57 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:57 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:57 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:57 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:57 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:57 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:58 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:56:58 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:10 +0530] "GET /BuildUp/usersignup HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:46 +0530] "POST /BuildUp/InsertUser HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:54 +0530] "GET /BuildUp/usersignup HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:55 +0530] "GET /BuildUp/ HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:55 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:55 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:55 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:55 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:56 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:56 +0530] "GET /BuildUp/resources/My_Design/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:56 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:56 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:56 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:56 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:56 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:56 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:56 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:56 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:57:56 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/Login HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/My_Design/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:04 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "POST /BuildUp/perform_login HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/My_Design/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:24 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/index.jsp HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/My_Design/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:37 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:40 +0530] "GET /BuildUp/postup HTTP/1.1" 200 2692
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:40 +0530] "GET /BuildUp/resources/My_Design/Pimages/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:40 +0530] "GET /BuildUp/resources/My_Design/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:41 +0530] "GET /BuildUp/resources/My_Design/Pimages/33.jpg HTTP/1.1" 200 9601
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:41 +0530] "GET /BuildUp/resources/My_Design/Pimages/4.jpg HTTP/1.1" 200 29434
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:41 +0530] "GET /BuildUp/resources/My_Design/Pimages/35.jpg HTTP/1.1" 200 295848
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:41 +0530] "GET /BuildUp/resources/My_Design/Pimages/34.jpg HTTP/1.1" 200 599830
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:58:41 +0530] "GET /BuildUp/resources/My_Design/Pimages/2.jpg HTTP/1.1" 200 780805
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:59:28 +0530] "GET /BuildUp/likepost?pid=34 HTTP/1.1" 200 2692
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:59:28 +0530] "GET /BuildUp/resources/My_Design/Pimages/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:59:28 +0530] "GET /BuildUp/resources/My_Design/angular.min.js HTTP/1.1" 200 167130
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:59:28 +0530] "GET /BuildUp/resources/My_Design/Pimages/4.jpg HTTP/1.1" 200 29434
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:59:28 +0530] "GET /BuildUp/resources/My_Design/Pimages/33.jpg HTTP/1.1" 200 9601
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:59:28 +0530] "GET /BuildUp/resources/My_Design/Pimages/35.jpg HTTP/1.1" 200 295848
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:59:28 +0530] "GET /BuildUp/resources/My_Design/Pimages/2.jpg HTTP/1.1" 200 780805
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:59:29 +0530] "GET /BuildUp/resources/My_Design/Pimages/34.jpg HTTP/1.1" 200 599830
