127.0.0.1 - - [05/Jul/2017:18:16:27 +0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Jul/2017:18:16:29 +0400] "GET /BuildUp/ HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [05/Jul/2017:18:16:29 +0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Jul/2017:18:16:42 +0400] "GET /BuildUp/usersignup HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [05/Jul/2017:18:16:47 +0400] "GET /BuildUp/orgsignup HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [05/Jul/2017:18:16:51 +0400] "GET /BuildUp/usersignup HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [05/Jul/2017:18:17:08 +0400] "POST /BuildUp/InsertUser HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [05/Jul/2017:18:17:44 +0400] "GET /BuildUp/orgsignup HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [05/Jul/2017:18:22:37 +0400] "POST /BuildUp/InsertOrganisation HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [05/Jul/2017:19:01:37 +0400] "GET /BuildUp/usersignup HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [05/Jul/2017:19:02:51 +0400] "GET /BuildUp/usersignup HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [05/Jul/2017:19:02:55 +0400] "GET /BuildUp/orgsignup HTTP/1.1" 200 3075
0:0:0:0:0:0:0:1 - - [05/Jul/2017:19:02:57 +0400] "GET /BuildUp/orgsignup HTTP/1.1" 200 3075
