0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:38:26 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:38:26 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:38:26 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:38:26 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:38:30 +0530] "GET /BuildUp/postup HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:38:30 +0530] "GET /BuildUp/resources/My_Design/Pimages/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:38:30 +0530] "GET /BuildUp/resources/My_Design/Pimages/3.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:38:30 +0530] "GET /BuildUp/resources/My_Design/Pimages/1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:38:30 +0530] "GET /BuildUp/resources/My_Design/Pimages/4.jpg HTTP/1.1" 200 29434
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:38:30 +0530] "GET /BuildUp/resources/My_Design/Pimages/2.jpg HTTP/1.1" 200 780805
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:26 +0530] "POST /BuildUp/Insertpost HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:26 +0530] "GET /BuildUp/resources/My_Design/Pimages/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:26 +0530] "GET /BuildUp/resources/My_Design/Pimages/4.jpg HTTP/1.1" 200 29434
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:26 +0530] "GET /BuildUp/resources/My_Design/Pimages/3.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:26 +0530] "GET /BuildUp/resources/My_Design/Pimages/1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:26 +0530] "GET /BuildUp/resources/My_Design/Pimages/33.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:26 +0530] "GET /BuildUp/resources/My_Design/Pimages/2.jpg HTTP/1.1" 200 780805
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:39 +0530] "GET /BuildUp/postup HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:39 +0530] "GET /BuildUp/resources/My_Design/Pimages/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:39 +0530] "GET /BuildUp/resources/My_Design/Pimages/1.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:39 +0530] "GET /BuildUp/resources/My_Design/Pimages/3.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:39 +0530] "GET /BuildUp/resources/My_Design/Pimages/33.jpg HTTP/1.1" 200 9601
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/ HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/resources/My_Design/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [23/Nov/2017:08:39:41 +0530] "GET /BuildUp/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 992
