127.0.0.1 - - [07/Jul/2018:07:21:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:16 +0530] "GET /BuildUp/ HTTP/1.1" 200 8252
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:16 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/My_Design/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/My_Design/cart.png HTTP/1.1" 200 53229
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/My_Design/a.png HTTP/1.1" 200 303673
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/My_Design/d.jpg HTTP/1.1" 200 8660
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /BuildUp/resources/My_Design/c.jpg HTTP/1.1" 200 26444
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:21:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:22:06 +0530] "GET /BuildUp/postup HTTP/1.1" 200 8793
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:22:06 +0530] "GET /BuildUp/resources/bootstrap.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:22:06 +0530] "GET /BuildUp/resources/bootstrap-theme.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:22:06 +0530] "GET /BuildUp/resources/My_Design/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:22:06 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:22:06 +0530] "GET /BuildUp/resources/My_Design/cart.png HTTP/1.1" 200 53229
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:22:06 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:22:06 +0530] "GET /BuildUp/resources/My_Design/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:22:06 +0530] "GET /BuildUp/resources/bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:22:06 +0530] "GET /BuildUp/resources/My_Design/Pimages/%7B%7Bpost.pId%7D%7D.jpg HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jul/2018:07:22:06 +0530] "GET /BuildUp/resources/jquery.min.js HTTP/1.1" 404 992
